序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,y
175,688198,佰仁医疗,2019/12/31,20191209,78.28,23.68,2019/12/9,4.5,-0.5,4.47%,49.41,0.13,-0.14,28.25
176,688199,久日新材,2019/11/30,20191105,69.38,66.68,2019/11/5,4.5,-1.4,-4.13%,6.42,-0.06,0.02,68.3
177,688200,华峰测控,2020/2/29,20200218,73.08,107.41,2020/2/18,5.2,-0.4,6.87%,216.55,-0.04,-0.06,227.57
178,688201,信安世纪,2021/4/30,20210421,70,26.78,2021/4/21,0.9,6.8,-3.39%,53.73,-0.05,0.09,28.12
179,688202,美迪西,2019/11/30,20191105,77.52,41.5,2019/11/5,4.5,-1.4,-3.90%,71.08,-0.07,0.04,50.39
180,688203,海正生材,2022/8/31,20220816,71.29,16.68,2022/8/16,2.5,2.3,-3.76%,25,-0.1,0.06,20.75
181,688205,德科立,2022/8/31,20220809,66.59,48.51,2022/8/9,2.5,2.3,-2.13%,25.79,-0.08,0.04,61.02
182,688206,概伦电子,2021/12/31,20211228,78.37,28.28,2021/12/28,1.5,10.3,3.25%,51.03,-0.1,-0.01,42.68
183,688207,格灵深瞳,2022/3/31,20220317,64.14,39.49,2022/3/17,1.5,8.3,-9.65%,-5.14,-0.07,0.06,37.46
184,688208,道通科技,2020/2/29,20200213,72.27,24.36,2020/2/13,5.2,-0.4,3.57%,204.19,-0.11,0.01,72.72
185,688209,英集芯,2022/4/30,20220419,62.06,24.23,2022/4/19,2.1,8,-17.40%,-9.7,0.05,0.01,23.06
187,688211,中科微至,2021/10/31,20211026,47.34,90.2,2021/10/26,1.5,13.5,-0.35%,-12.63,0,-0.01,77.81
188,688212,澳华内镜,2021/11/30,20211115,85.21,22.5,2021/11/15,2.3,12.9,15.02%,71.16,-0.1,0.01,38.37
189,688213,思特威,2022/5/31,20220520,78.41,31.51,2022/5/20,2.1,6.4,11.84%,79.82,-0.05,-0.1,56.66
190,688215,瑞晟智能,2020/8/31,20200828,78.34,34.73,2020/8/28,2.4,-2,5.15%,160.32,-0.19,-0.02,89.62
191,688216,气派科技,2021/6/30,20210623,85.68,14.82,2021/6/23,1.1,8.8,21.34%,386.64,-0.15,0.04,70.83
192,688217,睿昂基因,2021/5/31,20210517,83.4,18.42,2021/5/17,1.3,9,9.23%,477.74,-0.04,0.07,122.42
193,688218,江苏北人,2019/12/31,20191211,77.4,17.36,2019/12/11,4.5,-0.5,12.93%,84.74,-0.1,-0.03,31.58
194,688219,会通股份,2020/11/30,20201118,83.49,8.29,2020/11/18,-0.5,-1.5,5.56%,373.46,-0.1,-0.02,38.97
195,688220,翱捷科技,2022/1/31,20220114,53.09,164.54,2022/1/14,0.9,9.1,-14.96%,-33.75,-0.03,0.01,109
196,688221,前沿生物,2020/10/31,20201028,65.62,20.5,2020/10/28,0.5,-2.1,-1.62%,45.9,-0.15,-0.01,29.91
197,688222,成都先导,2020/4/30,20200416,75.1,20.52,2020/4/16,3.3,-3.1,1.22%,129.43,-0.15,-0.01,46.74
198,688223,晶科能源,2022/1/31,20220126,66.73,5,2022/1/26,0.9,9.1,-12.71%,111,-0.04,0.03,10.53
199,688225,亚信安全,2022/2/28,20220209,87.5,30.51,2022/2/9,0.9,8.8,3.77%,27.53,-0.17,-0.08,38.65
200,688226,威腾电气,2021/7/31,20210707,82.83,6.42,2021/7/7,1,9,12.75%,196.73,0.01,-0.07,19
201,688227,品高股份,2021/12/31,20211230,58.67,37.09,2021/12/30,1.5,10.3,3.25%,-11.51,-0.02,0,32.6
203,688229,博睿数据,2020/8/31,20200817,73.2,65.82,2020/8/17,2.4,-2,2.06%,84,0.06,-0.12,144.8
204,688230,芯导科技,2021/12/31,20211201,74.49,134.81,2021/12/1,1.5,10.3,-5.50%,39.92,-0.1,0.02,133.56
205,688231,隆达股份,2022/7/31,20220722,57.83,39.08,2022/7/22,2.7,4.2,4.56%,-4.38,0.07,0.1,44.82
206,688232,新点软件,2021/11/30,20211117,48.73,48.49,2021/11/17,2.3,12.9,15.69%,-4.5,0.05,-0.03,47.96
